title,links,link,summary,published,published_parsed,news_source,news_image,news_imagesize,news_imagemaxwidth,news_imagemaxheight,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,query
"AGL coal sites to house green manufacturing, not nuclear","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2fwww.msn.com%2fen-au%2fnews%2faustralia%2fagl-coal-sites-to-house-green-manufacturing-not-nuclear%2far-BB1oPHmu&c=17980097562120207604&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2fwww.msn.com%2fen-au%2fnews%2faustralia%2fagl-coal-sites-to-house-green-manufacturing-not-nuclear%2far-BB1oPHmu&c=17980097562120207604&mkt=en-us,"Australia’s largest power supplier is moving ahead with its plans to turn its old coal sites into low-carbon industrial energy hubs, despite Peter Dutton’s push for them to host nuclear.","Tue, 25 Jun 2024 00:11:14 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=25, tm_hour=0, tm_min=11, tm_sec=14, tm_wday=1, tm_yday=177, tm_isdst=0)",Sydney Morning Herald on MSN,http://www.bing.com/th?id=OVFT.D_9cqRVc8pztRjLloXdVLy&pid=News,w={0}&h={1}&c=14,700,366,text/plain,,,"AGL coal sites to house green manufacturing, not nuclear",text/html,,,"Australia’s largest power supplier is moving ahead with its plans to turn its old coal sites into low-carbon industrial energy hubs, despite Peter Dutton’s push for them to host nuclear.","https://www.bing.com/news/search?q=""Green Manufacturing"" ""new products""&format=rss"
Biden’s Tariffs Are a Good Idea,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2fslate.com%2fnews-and-politics%2f2024%2f05%2fbiden-china-alexander-hamilton-tariffs-electric-cars-green-energy.html&c=8350189018151469439&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2fslate.com%2fnews-and-politics%2f2024%2f05%2fbiden-china-alexander-hamilton-tariffs-electric-cars-green-energy.html&c=8350189018151469439&mkt=en-us,"The future belongs to green tech and green manufacturing, and under the long policy hangover from the 1990s, the United States is only beginning to consider its role in the 21 st century ...","Tue, 28 May 2024 04:00:00 GMT","time.struct_time(tm_year=2024, tm_mon=5, tm_mday=28, tm_hour=4, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=149, tm_isdst=0)",Slate,,,,,text/plain,,,Biden’s Tariffs Are a Good Idea,text/html,,,"The future belongs to green tech and green manufacturing, and under the long policy hangover from the 1990s, the United States is only beginning to consider its role in the 21 st century ...","https://www.bing.com/news/search?q=""Green Manufacturing"" ""new products""&format=rss"
AGL plans huge solar recycling plant at retired coal site that Dutton wants for nuclear,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2freneweconomy.com.au%2fagl-plans-huge-solar-recycling-plant-at-retired-coal-site-that-dutton-wants-for-nuclear%2f&c=18341834456843321846&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2freneweconomy.com.au%2fagl-plans-huge-solar-recycling-plant-at-retired-coal-site-that-dutton-wants-for-nuclear%2f&c=18341834456843321846&mkt=en-us,"The start-up, whose patented technology transforms used solar panels into new products used in the construction and manufacturing industries, was one of 10 start-ups to take part in EnergyLab’s 2023 ...","Mon, 24 Jun 2024 17:00:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=24, tm_hour=17, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=176, tm_isdst=0)",RenewEconomy,http://www.bing.com/th?id=OVFT.--e6yDRymQiNxCm68v4F0C&pid=News,w={0}&h={1}&c=14,700,524,text/plain,,,AGL plans huge solar recycling plant at retired coal site that Dutton wants for nuclear,text/html,,,"The start-up, whose patented technology transforms used solar panels into new products used in the construction and manufacturing industries, was one of 10 start-ups to take part in EnergyLab’s 2023 ...","https://www.bing.com/news/search?q=""Green Manufacturing"" ""new products""&format=rss"
‘Tech Jedi’ John Chambers discusses accelerating AI startup growth,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2fwraltechwire.com%2f2024%2f06%2f20%2ftech-jedi-john-chambers-discusses-accelerating-ai-startup-growth%2f&c=10856918249224122874&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2fwraltechwire.com%2f2024%2f06%2f20%2ftech-jedi-john-chambers-discusses-accelerating-ai-startup-growth%2f&c=10856918249224122874&mkt=en-us,"A few weeks ago, all of us enjoyed hearing from ""Tech Jedi"" John Chambers on AI and our future to a packed audience of startups, investors and elected leaders at the AI Summit I hosted I am going to ...","Thu, 20 Jun 2024 11:52:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=20, tm_hour=11, tm_min=52, tm_sec=0, tm_wday=3, tm_yday=172, tm_isdst=0)",WRAL TechWire,http://www.bing.com/th?id=OVFT.Hm-xJO7vcXw_S-hYQZznhS&pid=News,w={0}&h={1}&c=14,700,394,text/plain,,,‘Tech Jedi’ John Chambers discusses accelerating AI startup growth,text/html,,,"A few weeks ago, all of us enjoyed hearing from ""Tech Jedi"" John Chambers on AI and our future to a packed audience of startups, investors and elected leaders at the AI Summit I hosted I am going to ...","https://www.bing.com/news/search?q=""Green Manufacturing"" ""new products""&format=rss"
Biden’s Allies Hate His Latest Move Against China. They’re Wrong.,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fmarkets%2fbiden-s-allies-hate-his-latest-move-against-china-they-re-wrong%2far-BB1ndV5T&c=12013242878488601135&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5cf6821442afb8e27627ca61156a&url=https%3a%2f%2fwww.msn.com%2fen-us%2fmoney%2fmarkets%2fbiden-s-allies-hate-his-latest-move-against-china-they-re-wrong%2far-BB1ndV5T&c=12013242878488601135&mkt=en-us,"The future belongs to green tech and green manufacturing, and under the long policy hangover from the 1990s, the United States is only beginning to consider its role in the 21 st century ...","Tue, 28 May 2024 18:25:00 GMT","time.struct_time(tm_year=2024, tm_mon=5, tm_mday=28, tm_hour=18, tm_min=25, tm_sec=0, tm_wday=1, tm_yday=149, tm_isdst=0)",MSN,,,,,text/plain,,,Biden’s Allies Hate His Latest Move Against China. They’re Wrong.,text/html,,,"The future belongs to green tech and green manufacturing, and under the long policy hangover from the 1990s, the United States is only beginning to consider its role in the 21 st century ...","https://www.bing.com/news/search?q=""Green Manufacturing"" ""new products""&format=rss"
