title,links,link,summary,published,published_parsed,news_source,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,news_image,news_imagesize,news_imagemaxwidth,news_imagemaxheight,query
Green Chemistry and Clean Tech: 2006 to 2010,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ceff4c8416cb96e4aa8eb1ea0c7&url=https%3a%2f%2fwww.uml.edu%2fResearch%2fLowell-Center%2fAbout%2fGreenChemistryCleanTech.aspx&c=13624329492345922883&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ceff4c8416cb96e4aa8eb1ea0c7&url=https%3a%2f%2fwww.uml.edu%2fResearch%2fLowell-Center%2fAbout%2fGreenChemistryCleanTech.aspx&c=13624329492345922883&mkt=en-us,"In 2009, the Lowell Center published a Framework for Sustainable Products as a tool to help product designers and manufacturers evaluate the environmental, social and economic impacts of existing ...","Fri, 29 Apr 2016 11:01:00 GMT","time.struct_time(tm_year=2016, tm_mon=4, tm_mday=29, tm_hour=11, tm_min=1, tm_sec=0, tm_wday=4, tm_yday=120, tm_isdst=0)",UMass Lowell,text/plain,,,Green Chemistry and Clean Tech: 2006 to 2010,text/html,,,"In 2009, the Lowell Center published a Framework for Sustainable Products as a tool to help product designers and manufacturers evaluate the environmental, social and economic impacts of existing ...",,,,,"https://www.bing.com/news/search?q=""Sustainable product design"" ""new products""&format=rss"
Revolutionizing User Experiences: The Role of Advanced Technologies in Enhancing Everyday Products,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ceff4c8416cb96e4aa8eb1ea0c7&url=https%3a%2f%2fuxpamagazine.org%2frevolutionizing-user-experiences-the-role-of-advanced-technologies-in-enhancing-everyday-products%2f&c=13177040173476035578&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ceff4c8416cb96e4aa8eb1ea0c7&url=https%3a%2f%2fuxpamagazine.org%2frevolutionizing-user-experiences-the-role-of-advanced-technologies-in-enhancing-everyday-products%2f&c=13177040173476035578&mkt=en-us,"Advanced technologies are transforming user experiences, shaping product development, driving customer loyalty, and propelling a cycle of constant innovation and 360-degree ...","Mon, 24 Jun 2024 19:15:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=24, tm_hour=19, tm_min=15, tm_sec=0, tm_wday=0, tm_yday=176, tm_isdst=0)",uxpamagazine.org,text/plain,,,Revolutionizing User Experiences: The Role of Advanced Technologies in Enhancing Everyday Products,text/html,,,"Advanced technologies are transforming user experiences, shaping product development, driving customer loyalty, and propelling a cycle of constant innovation and 360-degree ...",http://www.bing.com/th?id=OVFT.5U16ljn5J5QwZSrqOUDZYi&pid=News,w={0}&h={1}&c=14,700,393,"https://www.bing.com/news/search?q=""Sustainable product design"" ""new products""&format=rss"
"Martin Racine, PhD","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ceff4c8416cb96e4aa8eb1ea0c7&url=https%3a%2f%2fwww.concordia.ca%2ffaculty%2fmartin-racine.html&c=8412266995044302855&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ceff4c8416cb96e4aa8eb1ea0c7&url=https%3a%2f%2fwww.concordia.ca%2ffaculty%2fmartin-racine.html&c=8412266995044302855&mkt=en-us,"The objective is to design new products while anticipating their eventual transformation ... Presented at the ""Towards Sustainable Product Design"" Conference, London (England),October 2002. Racine, M.","Sun, 22 Nov 2020 19:25:00 GMT","time.struct_time(tm_year=2020, tm_mon=11, tm_mday=22, tm_hour=19, tm_min=25, tm_sec=0, tm_wday=6, tm_yday=327, tm_isdst=0)",Concordia University,text/plain,,,"Martin Racine, PhD",text/html,,,"The objective is to design new products while anticipating their eventual transformation ... Presented at the ""Towards Sustainable Product Design"" Conference, London (England),October 2002. Racine, M.",,,,,"https://www.bing.com/news/search?q=""Sustainable product design"" ""new products""&format=rss"
