title,links,link,summary,published,published_parsed,news_source,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,query
Chapter 13: Department of Engineering,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fwww.scu.edu%2fbulletin%2fgraduate%2fschool-of-engineering%2fchapter-13-department-of-engineering.html&c=12778067266367301968&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fwww.scu.edu%2fbulletin%2fgraduate%2fschool-of-engineering%2fchapter-13-department-of-engineering.html&c=12778067266367301968&mkt=en-us,civic and professional virtues in guiding sustainable energy practices. The primary purpose of Co-op education is to give students an opportunity to gain practical knowledge in their field of study.,"Sat, 02 Jan 2021 16:12:00 GMT","time.struct_time(tm_year=2021, tm_mon=1, tm_mday=2, tm_hour=16, tm_min=12, tm_sec=0, tm_wday=5, tm_yday=2, tm_isdst=0)",Santa Clara University,text/plain,,,Chapter 13: Department of Engineering,text/html,,,civic and professional virtues in guiding sustainable energy practices. The primary purpose of Co-op education is to give students an opportunity to gain practical knowledge in their field of study.,"https://www.bing.com/news/search?q=""Sustainable Energy Practices"" ""new products""&format=rss"
Transforming daily habits to combat climate change,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fwww.msn.com%2fen-xl%2fasia%2fnepal%2ftransforming-daily-habits-to-combat-climate-change%2far-BB1nGQVW&c=13640337207453649154&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fwww.msn.com%2fen-xl%2fasia%2fnepal%2ftransforming-daily-habits-to-combat-climate-change%2far-BB1nGQVW&c=13640337207453649154&mkt=en-us,"Recycle and compost: Properly recycling materials like paper, glass, and plastic helps reduce emissions from manufacturing new products ... promote sustainable energy practices, and contribute ...","Wed, 05 Jun 2024 09:16:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=5, tm_hour=9, tm_min=16, tm_sec=0, tm_wday=2, tm_yday=157, tm_isdst=0)",MSN,text/plain,,,Transforming daily habits to combat climate change,text/html,,,"Recycle and compost: Properly recycling materials like paper, glass, and plastic helps reduce emissions from manufacturing new products ... promote sustainable energy practices, and contribute ...","https://www.bing.com/news/search?q=""Sustainable Energy Practices"" ""new products""&format=rss"
Chapter 12: Department of Engineering,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fwww.scu.edu%2fbulletin%2fgraduate%2fschool-of-engineering%2fchapter-12-department-of-engineering.html&c=2977846970725826635&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fwww.scu.edu%2fbulletin%2fgraduate%2fschool-of-engineering%2fchapter-12-department-of-engineering.html&c=2977846970725826635&mkt=en-us,"(2 units) ENGR 350. Success in Global Emerging Markets Strategies and tactics for moving new products and technologies into global emerging markets, comprehending cultural impact, and creating new ...","Fri, 10 Sep 2021 13:42:00 GMT","time.struct_time(tm_year=2021, tm_mon=9, tm_mday=10, tm_hour=13, tm_min=42, tm_sec=0, tm_wday=4, tm_yday=253, tm_isdst=0)",Santa Clara University,text/plain,,,Chapter 12: Department of Engineering,text/html,,,"(2 units) ENGR 350. Success in Global Emerging Markets Strategies and tactics for moving new products and technologies into global emerging markets, comprehending cultural impact, and creating new ...","https://www.bing.com/news/search?q=""Sustainable Energy Practices"" ""new products""&format=rss"
"Europe Battery Binders Industry Research 2024-2031: Focus on Water Based Battery Binders, Competitive Pricing Pressures, Growing Awareness of Bio Alternatives, Startup ...","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fwww.businesswire.com%2fnews%2fhome%2f20240524984559%2fen%2fEurope-Battery-Binders-Industry-Research-2024-2031-Focus-on-Water-Based-Battery-Binders-Competitive-Pricing-Pressures-Growing-Awareness-of-Bio-Alternatives-Startup-Landscape---ResearchAndMarkets.com%2f&c=6490711557753583752&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fwww.businesswire.com%2fnews%2fhome%2f20240524984559%2fen%2fEurope-Battery-Binders-Industry-Research-2024-2031-Focus-on-Water-Based-Battery-Binders-Competitive-Pricing-Pressures-Growing-Awareness-of-Bio-Alternatives-Startup-Landscape---ResearchAndMarkets.com%2f&c=6490711557753583752&mkt=en-us,"With an increasing uptake of EVs and a concerted effort towards sustainable energy practices, the market for battery binders is anticipated to witness robust expansion across Europe. Binders serve ...","Fri, 24 May 2024 04:42:00 GMT","time.struct_time(tm_year=2024, tm_mon=5, tm_mday=24, tm_hour=4, tm_min=42, tm_sec=0, tm_wday=4, tm_yday=145, tm_isdst=0)",Business Wire,text/plain,,,"Europe Battery Binders Industry Research 2024-2031: Focus on Water Based Battery Binders, Competitive Pricing Pressures, Growing Awareness of Bio Alternatives, Startup ...",text/html,,,"With an increasing uptake of EVs and a concerted effort towards sustainable energy practices, the market for battery binders is anticipated to witness robust expansion across Europe. Binders serve ...","https://www.bing.com/news/search?q=""Sustainable Energy Practices"" ""new products""&format=rss"
"India Microgrid (CHP, Natural Gas, Solar PV, Diesel, Fuel Cell, Remote, Grid Connected, Hybrid) Market Size, Share & Trends Analysis Report 2024-2030","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fuk.finance.yahoo.com%2fnews%2findia-microgrid-chp-natural-gas-150600224.html&c=6973767169975267151&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d18ec76414ba00dafb7a75d75cf&url=https%3a%2f%2fuk.finance.yahoo.com%2fnews%2findia-microgrid-chp-natural-gas-150600224.html&c=6973767169975267151&mkt=en-us,"India's focus on renewable energy development, including microgrids, aligns with global trends towards sustainable energy practices and underscores the country's efforts to address energy challenges ...","Tue, 25 Jun 2024 04:06:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=25, tm_hour=4, tm_min=6, tm_sec=0, tm_wday=1, tm_yday=177, tm_isdst=0)",Yahoo Finance,text/plain,,,"India Microgrid (CHP, Natural Gas, Solar PV, Diesel, Fuel Cell, Remote, Grid Connected, Hybrid) Market Size, Share & Trends Analysis Report 2024-2030",text/html,,,"India's focus on renewable energy development, including microgrids, aligns with global trends towards sustainable energy practices and underscores the country's efforts to address energy challenges ...","https://www.bing.com/news/search?q=""Sustainable Energy Practices"" ""new products""&format=rss"
