title,links,link,summary,published,published_parsed,news_source,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,query
Better together,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d2154ac43eb899a79b2bd4e035e&url=https%3a%2f%2fwww.recyclingtoday.com%2farticle%2frt0714-recycling-commercial-film%2f&c=3770476309492016436&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d2154ac43eb899a79b2bd4e035e&url=https%3a%2f%2fwww.recyclingtoday.com%2farticle%2frt0714-recycling-commercial-film%2f&c=3770476309492016436&mkt=en-us,"As with most recycled commodities, lower-quality films are more difficult ... Real growth in the use of postconsumer resin in new products is hindered primarily by lack of supply of consistent quality ...","Thu, 10 Jul 2014 12:38:00 GMT","time.struct_time(tm_year=2014, tm_mon=7, tm_mday=10, tm_hour=12, tm_min=38, tm_sec=0, tm_wday=3, tm_yday=191, tm_isdst=0)",Recycling Today,text/plain,,,Better together,text/html,,,"As with most recycled commodities, lower-quality films are more difficult ... Real growth in the use of postconsumer resin in new products is hindered primarily by lack of supply of consistent quality ...","https://www.bing.com/news/search?q=""Recycled Commodities"" ""new products""&format=rss"
Costs and Approaches for Municipal Solid Waste Recycling Programs,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d2154ac43eb899a79b2bd4e035e&url=https%3a%2f%2fwww.nationalacademies.org%2four-work%2fcosts-and-approaches-for-municipal-solid-waste-recycling-programs&c=9137513900432757424&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d2154ac43eb899a79b2bd4e035e&url=https%3a%2f%2fwww.nationalacademies.org%2four-work%2fcosts-and-approaches-for-municipal-solid-waste-recycling-programs&c=9137513900432757424&mkt=en-us,"landfilling; fluctuations in the supply, demand, and price of recycled commodities; externalities (such as emission of greenhouse gases (GHGs), and a household's willingness to pay for recycling ...","Fri, 06 Oct 2023 07:42:00 GMT","time.struct_time(tm_year=2023, tm_mon=10, tm_mday=6, tm_hour=7, tm_min=42, tm_sec=0, tm_wday=4, tm_yday=279, tm_isdst=0)",National Academies of Sciences%2c Engineering%2c and Medicine,text/plain,,,Costs and Approaches for Municipal Solid Waste Recycling Programs,text/html,,,"landfilling; fluctuations in the supply, demand, and price of recycled commodities; externalities (such as emission of greenhouse gases (GHGs), and a household's willingness to pay for recycling ...","https://www.bing.com/news/search?q=""Recycled Commodities"" ""new products""&format=rss"
Wearing of the Green,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d2154ac43eb899a79b2bd4e035e&url=https%3a%2f%2fwww.recyclingtoday.com%2farticle%2fwearing-of-the-green%2f&c=17160812771314810651&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5d2154ac43eb899a79b2bd4e035e&url=https%3a%2f%2fwww.recyclingtoday.com%2farticle%2fwearing-of-the-green%2f&c=17160812771314810651&mkt=en-us,"Working with multi-location retailers such as Target and Tractor Supply Co., the Greenstar subsidiary ""helps them manage that part of their businesses, including helping them recover and market the ...","Fri, 18 Oct 2019 05:34:00 GMT","time.struct_time(tm_year=2019, tm_mon=10, tm_mday=18, tm_hour=5, tm_min=34, tm_sec=0, tm_wday=4, tm_yday=291, tm_isdst=0)",Recycling Today,text/plain,,,Wearing of the Green,text/html,,,"Working with multi-location retailers such as Target and Tractor Supply Co., the Greenstar subsidiary ""helps them manage that part of their businesses, including helping them recover and market the ...","https://www.bing.com/news/search?q=""Recycled Commodities"" ""new products""&format=rss"
