title,links,link,id,guidislink,published,published_parsed,summary,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,source.href,source.title,query
International body verifies Vedanta Aluminium products as environmentally sustainable - PR Newswire,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9hcGFjL25ld3MtcmVsZWFzZXMvaW50ZXJuYXRpb25hbC1ib2R5LXZlcmlmaWVzLXZlZGFudGEtYWx1bWluaXVtLXByb2R1Y3RzLWFzLWVudmlyb25tZW50YWxseS1zdXN0YWluYWJsZS0zMDE4OTQ1MzcuaHRtbNIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9hcGFjL25ld3MtcmVsZWFzZXMvaW50ZXJuYXRpb25hbC1ib2R5LXZlcmlmaWVzLXZlZGFudGEtYWx1bWluaXVtLXByb2R1Y3RzLWFzLWVudmlyb25tZW50YWxseS1zdXN0YWluYWJsZS0zMDE4OTQ1MzcuaHRtbNIBAA?oc=5,CBMikgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9hcGFjL25ld3MtcmVsZWFzZXMvaW50ZXJuYXRpb25hbC1ib2R5LXZlcmlmaWVzLXZlZGFudGEtYWx1bWluaXVtLXByb2R1Y3RzLWFzLWVudmlyb25tZW50YWxseS1zdXN0YWluYWJsZS0zMDE4OTQ1MzcuaHRtbNIBAA,False,"Mon, 07 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=7, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=219, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9hcGFjL25ld3MtcmVsZWFzZXMvaW50ZXJuYXRpb25hbC1ib2R5LXZlcmlmaWVzLXZlZGFudGEtYWx1bWluaXVtLXByb2R1Y3RzLWFzLWVudmlyb25tZW50YWxseS1zdXN0YWluYWJsZS0zMDE4OTQ1MzcuaHRtbNIBAA?oc=5"" target=""_blank"">International body verifies Vedanta Aluminium products as environmentally sustainable</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",text/plain,,,International body verifies Vedanta Aluminium products as environmentally sustainable - PR Newswire,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9hcGFjL25ld3MtcmVsZWFzZXMvaW50ZXJuYXRpb25hbC1ib2R5LXZlcmlmaWVzLXZlZGFudGEtYWx1bWluaXVtLXByb2R1Y3RzLWFzLWVudmlyb25tZW50YWxseS1zdXN0YWluYWJsZS0zMDE4OTQ1MzcuaHRtbNIBAA?oc=5"" target=""_blank"">International body verifies Vedanta Aluminium products as environmentally sustainable</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PR Newswire</font>",https://www.prnewswire.com,PR Newswire,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-08-01+before:2023-08-31"
Closing the loop: Stemming plastic pollution and fostering a circular economy in produce - The Packer,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LnRoZXBhY2tlci5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS9jbG9zaW5nLWxvb3Atc3RlbW1pbmctcGxhc3RpYy1wb2xsdXRpb24tYW5kLWZvc3RlcmluZy1jaXJjdWxhci1lY29ub215LXByb2R1Y2XSAQA?oc=5'}]",https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LnRoZXBhY2tlci5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS9jbG9zaW5nLWxvb3Atc3RlbW1pbmctcGxhc3RpYy1wb2xsdXRpb24tYW5kLWZvc3RlcmluZy1jaXJjdWxhci1lY29ub215LXByb2R1Y2XSAQA?oc=5,CBMifGh0dHBzOi8vd3d3LnRoZXBhY2tlci5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS9jbG9zaW5nLWxvb3Atc3RlbW1pbmctcGxhc3RpYy1wb2xsdXRpb24tYW5kLWZvc3RlcmluZy1jaXJjdWxhci1lY29ub215LXByb2R1Y2XSAQA,False,"Tue, 15 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=15, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=227, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LnRoZXBhY2tlci5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS9jbG9zaW5nLWxvb3Atc3RlbW1pbmctcGxhc3RpYy1wb2xsdXRpb24tYW5kLWZvc3RlcmluZy1jaXJjdWxhci1lY29ub215LXByb2R1Y2XSAQA?oc=5"" target=""_blank"">Closing the loop: Stemming plastic pollution and fostering a circular economy in produce</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Packer</font>",text/plain,,,Closing the loop: Stemming plastic pollution and fostering a circular economy in produce - The Packer,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LnRoZXBhY2tlci5jb20vbmV3cy9zdXN0YWluYWJpbGl0eS9jbG9zaW5nLWxvb3Atc3RlbW1pbmctcGxhc3RpYy1wb2xsdXRpb24tYW5kLWZvc3RlcmluZy1jaXJjdWxhci1lY29ub215LXByb2R1Y2XSAQA?oc=5"" target=""_blank"">Closing the loop: Stemming plastic pollution and fostering a circular economy in produce</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Packer</font>",https://www.thepacker.com,The Packer,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-08-01+before:2023-08-31"
Microalgae-based decarbonization project to deliver sustainable products to the value chain - Aquafeed.com,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5hcXVhZmVlZC5jb20vcHJvZHVjdHMvc3VwcGxpZXJzLW5ld3MvbWljcm9hbGdhZS1iYXNlZC1kZWNhcmJvbml6YXRpb24tcHJvamVjdC10by1kZWxpdmVyLXN1c3RhaW5hYmxlLXByb2R1Y3RzLXRvLXRoZS12YWx1ZS1jaGFpbi_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5hcXVhZmVlZC5jb20vcHJvZHVjdHMvc3VwcGxpZXJzLW5ld3MvbWljcm9hbGdhZS1iYXNlZC1kZWNhcmJvbml6YXRpb24tcHJvamVjdC10by1kZWxpdmVyLXN1c3RhaW5hYmxlLXByb2R1Y3RzLXRvLXRoZS12YWx1ZS1jaGFpbi_SAQA?oc=5,CBMijQFodHRwczovL3d3dy5hcXVhZmVlZC5jb20vcHJvZHVjdHMvc3VwcGxpZXJzLW5ld3MvbWljcm9hbGdhZS1iYXNlZC1kZWNhcmJvbml6YXRpb24tcHJvamVjdC10by1kZWxpdmVyLXN1c3RhaW5hYmxlLXByb2R1Y3RzLXRvLXRoZS12YWx1ZS1jaGFpbi_SAQA,False,"Wed, 16 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=16, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=228, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5hcXVhZmVlZC5jb20vcHJvZHVjdHMvc3VwcGxpZXJzLW5ld3MvbWljcm9hbGdhZS1iYXNlZC1kZWNhcmJvbml6YXRpb24tcHJvamVjdC10by1kZWxpdmVyLXN1c3RhaW5hYmxlLXByb2R1Y3RzLXRvLXRoZS12YWx1ZS1jaGFpbi_SAQA?oc=5"" target=""_blank"">Microalgae-based decarbonization project to deliver sustainable products to the value chain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aquafeed.com</font>",text/plain,,,Microalgae-based decarbonization project to deliver sustainable products to the value chain - Aquafeed.com,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5hcXVhZmVlZC5jb20vcHJvZHVjdHMvc3VwcGxpZXJzLW5ld3MvbWljcm9hbGdhZS1iYXNlZC1kZWNhcmJvbml6YXRpb24tcHJvamVjdC10by1kZWxpdmVyLXN1c3RhaW5hYmxlLXByb2R1Y3RzLXRvLXRoZS12YWx1ZS1jaGFpbi_SAQA?oc=5"" target=""_blank"">Microalgae-based decarbonization project to deliver sustainable products to the value chain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aquafeed.com</font>",https://www.aquafeed.com,Aquafeed.com,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-08-01+before:2023-08-31"
Top 5 Perks Of Embracing Green Computing In Your Company - Spiceworks News and Insights,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8?oc=5'}]",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8?oc=5,CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8,False,"Wed, 09 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=9, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=221, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8?oc=5"" target=""_blank"">Top 5 Perks Of Embracing Green Computing In Your Company</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Spiceworks News and Insights</font>",text/plain,,,Top 5 Perks Of Embracing Green Computing In Your Company - Spiceworks News and Insights,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnNwaWNld29ya3MuY29tL3RlY2gvZWRnZS1jb21wdXRpbmcvZ3Vlc3QtYXJ0aWNsZS9hZHZhbnRhZ2VzLW9mLWdyZWVuLWNvbXB1dGluZy1wcmFjdGljZXMv0gFlaHR0cHM6Ly93d3cuc3BpY2V3b3Jrcy5jb20vdGVjaC9lZGdlLWNvbXB1dGluZy9ndWVzdC1hcnRpY2xlL2FkdmFudGFnZXMtb2YtZ3JlZW4tY29tcHV0aW5nLXByYWN0aWNlcy8?oc=5"" target=""_blank"">Top 5 Perks Of Embracing Green Computing In Your Company</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Spiceworks News and Insights</font>",https://www.spiceworks.com,Spiceworks News and Insights,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-08-01+before:2023-08-31"
The Toyota Production System: A Fresh Look - Assembly Magazine,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmFzc2VtYmx5bWFnLmNvbS9hcnRpY2xlcy85Nzk4MS10aGUtdG95b3RhLXByb2R1Y3Rpb24tc3lzdGVtLWEtZnJlc2gtbG9va9IBAA?oc=5'}]",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmFzc2VtYmx5bWFnLmNvbS9hcnRpY2xlcy85Nzk4MS10aGUtdG95b3RhLXByb2R1Y3Rpb24tc3lzdGVtLWEtZnJlc2gtbG9va9IBAA?oc=5,CBMiVGh0dHBzOi8vd3d3LmFzc2VtYmx5bWFnLmNvbS9hcnRpY2xlcy85Nzk4MS10aGUtdG95b3RhLXByb2R1Y3Rpb24tc3lzdGVtLWEtZnJlc2gtbG9va9IBAA,False,"Fri, 25 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=25, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=237, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmFzc2VtYmx5bWFnLmNvbS9hcnRpY2xlcy85Nzk4MS10aGUtdG95b3RhLXByb2R1Y3Rpb24tc3lzdGVtLWEtZnJlc2gtbG9va9IBAA?oc=5"" target=""_blank"">The Toyota Production System: A Fresh Look</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Assembly Magazine</font>",text/plain,,,The Toyota Production System: A Fresh Look - Assembly Magazine,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmFzc2VtYmx5bWFnLmNvbS9hcnRpY2xlcy85Nzk4MS10aGUtdG95b3RhLXByb2R1Y3Rpb24tc3lzdGVtLWEtZnJlc2gtbG9va9IBAA?oc=5"" target=""_blank"">The Toyota Production System: A Fresh Look</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Assembly Magazine</font>",https://www.assemblymag.com,Assembly Magazine,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-08-01+before:2023-08-31"
"Ready-To-Eat Food Market Assessment, By Category, By Packaging Type, By Distribution Channel, By End-user, By ... - GlobeNewswire","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMi3QFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMy8wOC8yMi8yNzI5Mjg1LzAvZW4vUmVhZHktVG8tRWF0LUZvb2QtTWFya2V0LUFzc2Vzc21lbnQtQnktQ2F0ZWdvcnktQnktUGFja2FnaW5nLVR5cGUtQnktRGlzdHJpYnV0aW9uLUNoYW5uZWwtQnktRW5kLXVzZXItQnktUmVnaW9uLU9wcG9ydHVuaXRpZXMtYW5kLUZvcmVjYXN0LTIwMTYtMjAzMEYuaHRtbNIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMi3QFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMy8wOC8yMi8yNzI5Mjg1LzAvZW4vUmVhZHktVG8tRWF0LUZvb2QtTWFya2V0LUFzc2Vzc21lbnQtQnktQ2F0ZWdvcnktQnktUGFja2FnaW5nLVR5cGUtQnktRGlzdHJpYnV0aW9uLUNoYW5uZWwtQnktRW5kLXVzZXItQnktUmVnaW9uLU9wcG9ydHVuaXRpZXMtYW5kLUZvcmVjYXN0LTIwMTYtMjAzMEYuaHRtbNIBAA?oc=5,CBMi3QFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMy8wOC8yMi8yNzI5Mjg1LzAvZW4vUmVhZHktVG8tRWF0LUZvb2QtTWFya2V0LUFzc2Vzc21lbnQtQnktQ2F0ZWdvcnktQnktUGFja2FnaW5nLVR5cGUtQnktRGlzdHJpYnV0aW9uLUNoYW5uZWwtQnktRW5kLXVzZXItQnktUmVnaW9uLU9wcG9ydHVuaXRpZXMtYW5kLUZvcmVjYXN0LTIwMTYtMjAzMEYuaHRtbNIBAA,False,"Tue, 22 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=22, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=234, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMi3QFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMy8wOC8yMi8yNzI5Mjg1LzAvZW4vUmVhZHktVG8tRWF0LUZvb2QtTWFya2V0LUFzc2Vzc21lbnQtQnktQ2F0ZWdvcnktQnktUGFja2FnaW5nLVR5cGUtQnktRGlzdHJpYnV0aW9uLUNoYW5uZWwtQnktRW5kLXVzZXItQnktUmVnaW9uLU9wcG9ydHVuaXRpZXMtYW5kLUZvcmVjYXN0LTIwMTYtMjAzMEYuaHRtbNIBAA?oc=5"" target=""_blank"">Ready-To-Eat Food Market Assessment, By Category, By Packaging Type, By Distribution Channel, By End-user, By ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GlobeNewswire</font>",text/plain,,,"Ready-To-Eat Food Market Assessment, By Category, By Packaging Type, By Distribution Channel, By End-user, By ... - GlobeNewswire",text/html,,,"<a href=""https://news.google.com/rss/articles/CBMi3QFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMy8wOC8yMi8yNzI5Mjg1LzAvZW4vUmVhZHktVG8tRWF0LUZvb2QtTWFya2V0LUFzc2Vzc21lbnQtQnktQ2F0ZWdvcnktQnktUGFja2FnaW5nLVR5cGUtQnktRGlzdHJpYnV0aW9uLUNoYW5uZWwtQnktRW5kLXVzZXItQnktUmVnaW9uLU9wcG9ydHVuaXRpZXMtYW5kLUZvcmVjYXN0LTIwMTYtMjAzMEYuaHRtbNIBAA?oc=5"" target=""_blank"">Ready-To-Eat Food Market Assessment, By Category, By Packaging Type, By Distribution Channel, By End-user, By ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GlobeNewswire</font>",https://www.globenewswire.com,GlobeNewswire,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-08-01+before:2023-08-31"
Taiwan drives Asia sustainable fund flows but deceleration path continues in Q2 - ESG Clarity,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vZXNnY2xhcml0eS5jb20vdGFpd2FuLWRyaXZlcy1hc2lhLXN1c3RhaW5hYmxlLWZ1bmQtZmxvd3MtYnV0LWRlY2VsZXJhdGlvbi1wYXRoLWNvbnRpbnVlcy1pbi1xMi_SAQA?oc=5'}]",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vZXNnY2xhcml0eS5jb20vdGFpd2FuLWRyaXZlcy1hc2lhLXN1c3RhaW5hYmxlLWZ1bmQtZmxvd3MtYnV0LWRlY2VsZXJhdGlvbi1wYXRoLWNvbnRpbnVlcy1pbi1xMi_SAQA?oc=5,CBMiZ2h0dHBzOi8vZXNnY2xhcml0eS5jb20vdGFpd2FuLWRyaXZlcy1hc2lhLXN1c3RhaW5hYmxlLWZ1bmQtZmxvd3MtYnV0LWRlY2VsZXJhdGlvbi1wYXRoLWNvbnRpbnVlcy1pbi1xMi_SAQA,False,"Wed, 09 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=9, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=221, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vZXNnY2xhcml0eS5jb20vdGFpd2FuLWRyaXZlcy1hc2lhLXN1c3RhaW5hYmxlLWZ1bmQtZmxvd3MtYnV0LWRlY2VsZXJhdGlvbi1wYXRoLWNvbnRpbnVlcy1pbi1xMi_SAQA?oc=5"" target=""_blank"">Taiwan drives Asia sustainable fund flows but deceleration path continues in Q2</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ESG Clarity</font>",text/plain,,,Taiwan drives Asia sustainable fund flows but deceleration path continues in Q2 - ESG Clarity,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vZXNnY2xhcml0eS5jb20vdGFpd2FuLWRyaXZlcy1hc2lhLXN1c3RhaW5hYmxlLWZ1bmQtZmxvd3MtYnV0LWRlY2VsZXJhdGlvbi1wYXRoLWNvbnRpbnVlcy1pbi1xMi_SAQA?oc=5"" target=""_blank"">Taiwan drives Asia sustainable fund flows but deceleration path continues in Q2</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ESG Clarity</font>",https://esgclarity.com,ESG Clarity,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-08-01+before:2023-08-31"
Adisseo to build a powder methionine plant in China - Aquafeed.com,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmFxdWFmZWVkLmNvbS9wcm9kdWN0cy9zdXBwbGllcnMtbmV3cy9hZGlzc2VvLXRvLWJ1aWxkLWEtcG93ZGVyLW1ldGhpb25pbmUtcGxhbnQtaW4tY2hpbmEv0gEA?oc=5'}]",https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmFxdWFmZWVkLmNvbS9wcm9kdWN0cy9zdXBwbGllcnMtbmV3cy9hZGlzc2VvLXRvLWJ1aWxkLWEtcG93ZGVyLW1ldGhpb25pbmUtcGxhbnQtaW4tY2hpbmEv0gEA?oc=5,CBMiZWh0dHBzOi8vd3d3LmFxdWFmZWVkLmNvbS9wcm9kdWN0cy9zdXBwbGllcnMtbmV3cy9hZGlzc2VvLXRvLWJ1aWxkLWEtcG93ZGVyLW1ldGhpb25pbmUtcGxhbnQtaW4tY2hpbmEv0gEA,False,"Mon, 07 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=7, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=219, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmFxdWFmZWVkLmNvbS9wcm9kdWN0cy9zdXBwbGllcnMtbmV3cy9hZGlzc2VvLXRvLWJ1aWxkLWEtcG93ZGVyLW1ldGhpb25pbmUtcGxhbnQtaW4tY2hpbmEv0gEA?oc=5"" target=""_blank"">Adisseo to build a powder methionine plant in China</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aquafeed.com</font>",text/plain,,,Adisseo to build a powder methionine plant in China - Aquafeed.com,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmFxdWFmZWVkLmNvbS9wcm9kdWN0cy9zdXBwbGllcnMtbmV3cy9hZGlzc2VvLXRvLWJ1aWxkLWEtcG93ZGVyLW1ldGhpb25pbmUtcGxhbnQtaW4tY2hpbmEv0gEA?oc=5"" target=""_blank"">Adisseo to build a powder methionine plant in China</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aquafeed.com</font>",https://www.aquafeed.com,Aquafeed.com,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-08-01+before:2023-08-31"
How Recycling Technology is Helping the Brands in the Footwear Industry - Indian Retailer,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9hcnRpY2xlL3JldGFpbC1idXNpbmVzcy9yZXRhaWwtdHJlbmRzL2hvdy1yZWN5Y2xpbmctdGVjaG5vbG9neS1oZWxwaW5nLWJyYW5kcy1mb290d2Vhci1pbmR1c3RyedIBAA?oc=5'}]",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9hcnRpY2xlL3JldGFpbC1idXNpbmVzcy9yZXRhaWwtdHJlbmRzL2hvdy1yZWN5Y2xpbmctdGVjaG5vbG9neS1oZWxwaW5nLWJyYW5kcy1mb290d2Vhci1pbmR1c3RyedIBAA?oc=5,CBMifmh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9hcnRpY2xlL3JldGFpbC1idXNpbmVzcy9yZXRhaWwtdHJlbmRzL2hvdy1yZWN5Y2xpbmctdGVjaG5vbG9neS1oZWxwaW5nLWJyYW5kcy1mb290d2Vhci1pbmR1c3RyedIBAA,False,"Sat, 26 Aug 2023 07:00:00 GMT","time.struct_time(tm_year=2023, tm_mon=8, tm_mday=26, tm_hour=7, tm_min=0, tm_sec=0, tm_wday=5, tm_yday=238, tm_isdst=0)","<a href=""https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9hcnRpY2xlL3JldGFpbC1idXNpbmVzcy9yZXRhaWwtdHJlbmRzL2hvdy1yZWN5Y2xpbmctdGVjaG5vbG9neS1oZWxwaW5nLWJyYW5kcy1mb290d2Vhci1pbmR1c3RyedIBAA?oc=5"" target=""_blank"">How Recycling Technology is Helping the Brands in the Footwear Industry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Retailer</font>",text/plain,,,How Recycling Technology is Helping the Brands in the Footwear Industry - Indian Retailer,text/html,,,"<a href=""https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmluZGlhbnJldGFpbGVyLmNvbS9hcnRpY2xlL3JldGFpbC1idXNpbmVzcy9yZXRhaWwtdHJlbmRzL2hvdy1yZWN5Y2xpbmctdGVjaG5vbG9neS1oZWxwaW5nLWJyYW5kcy1mb290d2Vhci1pbmR1c3RyedIBAA?oc=5"" target=""_blank"">How Recycling Technology is Helping the Brands in the Footwear Industry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Retailer</font>",https://www.indianretailer.com,Indian Retailer,"https://news.google.com/rss/search?q=""Environmental stewardship"" ""new products""+after:2023-08-01+before:2023-08-31"
