title,links,link,summary,published,published_parsed,news_source,news_image,news_imagesize,news_imagemaxwidth,news_imagemaxheight,title_detail.type,title_detail.language,title_detail.base,title_detail.value,summary_detail.type,summary_detail.language,summary_detail.base,summary_detail.value,query
Plastic bags no longer deemed recyclable in San Antonio,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.tpr.org%2fsan-antonio%2f2024-06-21%2fplastic-bags-no-longer-deemed-recyclable-in-san-antonio&c=12089282593856804494&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.tpr.org%2fsan-antonio%2f2024-06-21%2fplastic-bags-no-longer-deemed-recyclable-in-san-antonio&c=12089282593856804494&mkt=en-us,"Starting August 1, the San Antonio Solid Waste Management Department will no longer accept single-use plastic bags in the blue recycling cart.","Fri, 21 Jun 2024 16:34:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=21, tm_hour=16, tm_min=34, tm_sec=0, tm_wday=4, tm_yday=173, tm_isdst=0)",Texas Public Radio,http://www.bing.com/th?id=OVFT.nmOZfYnu8U-wR6OhuoXy1C&pid=News,w={0}&h={1}&c=14,700,367,text/plain,,,Plastic bags no longer deemed recyclable in San Antonio,text/html,,,"Starting August 1, the San Antonio Solid Waste Management Department will no longer accept single-use plastic bags in the blue recycling cart.","https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
San Antonio will no longer accept plastic bags for recycling,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.mysanantonio.com%2fnews%2flocal%2farticle%2fsan-antonio-recycling-19524016.php&c=3561913639939526139&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.mysanantonio.com%2fnews%2flocal%2farticle%2fsan-antonio-recycling-19524016.php&c=3561913639939526139&mkt=en-us,San Antonio's trash pickup and recycling department have put a ban on single-use plastic bags from recycling bins.,"Thu, 20 Jun 2024 18:48:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=20, tm_hour=18, tm_min=48, tm_sec=0, tm_wday=3, tm_yday=172, tm_isdst=0)",San Antonio Express-News,http://www.bing.com/th?id=OVF.LJtCMgYbSl00Aqe%2FpzOr%2Bw&pid=News,w={0}&h={1}&c=14,520,346,text/plain,,,San Antonio will no longer accept plastic bags for recycling,text/html,,,San Antonio's trash pickup and recycling department have put a ban on single-use plastic bags from recycling bins.,"https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
Amazon replaces plastic air pillows with recycled paper for North American packaging,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.lesprom.com%2fen%2fnews%2fAmazon_replaces_plastic_air_pillows_with_recycled_paper_for_North_American_packaging_113796%2f&c=13133765082057078597&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.lesprom.com%2fen%2fnews%2fAmazon_replaces_plastic_air_pillows_with_recycled_paper_for_North_American_packaging_113796%2f&c=13133765082057078597&mkt=en-us,Amazon is replacing plastic air pillows with recycled paper filler in North American packaging to address environmental concerns. The company has already replaced 95% of plastic air pillows in ...,"Mon, 24 Jun 2024 06:48:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=24, tm_hour=6, tm_min=48, tm_sec=0, tm_wday=0, tm_yday=176, tm_isdst=0)",Lesprom Network,http://www.bing.com/th?id=OVFT._wBqljK5cgmMtad_Yb98SS&pid=News,w={0}&h={1}&c=14,700,393,text/plain,,,Amazon replaces plastic air pillows with recycled paper for North American packaging,text/html,,,Amazon is replacing plastic air pillows with recycled paper filler in North American packaging to address environmental concerns. The company has already replaced 95% of plastic air pillows in ...,"https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
Plastic bags will no longer be allowed in San Antonio's blue recycle bins,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.kens5.com%2farticle%2fnews%2flocal%2fplastic-bags-will-no-longer-allowed-in-the-blue-recycle-bin-san-antonio-texas%2f273-4dde1b69-efe2-4449-8ba9-c8909bf5578b&c=7084184568050888568&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.kens5.com%2farticle%2fnews%2flocal%2fplastic-bags-will-no-longer-allowed-in-the-blue-recycle-bin-san-antonio-texas%2f273-4dde1b69-efe2-4449-8ba9-c8909bf5578b&c=7084184568050888568&mkt=en-us,"The plastic bags and other plastic films can stick to recycling sorting equipment, according to the city, which causes problems with the machinery.","Thu, 20 Jun 2024 22:24:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=20, tm_hour=22, tm_min=24, tm_sec=0, tm_wday=3, tm_yday=172, tm_isdst=0)",KENS,http://www.bing.com/th?id=OVFT.MQERZy49_oKAj_pflKnQSy&pid=News,w={0}&h={1}&c=14,700,393,text/plain,,,Plastic bags will no longer be allowed in San Antonio's blue recycle bins,text/html,,,"The plastic bags and other plastic films can stick to recycling sorting equipment, according to the city, which causes problems with the machinery.","https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
Which Consumers are Leading the Recycling Charge?,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.plasticstoday.com%2fmechanical-recycling%2fwhich-consumers-are-leading-the-recycling-charge-&c=1624661765012871778&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.plasticstoday.com%2fmechanical-recycling%2fwhich-consumers-are-leading-the-recycling-charge-&c=1624661765012871778&mkt=en-us,"Understanding the differing recycling and sustainability viewpoints of baby boomers and Generations X, Y, and Z.","Wed, 12 Jun 2024 06:14:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=12, tm_hour=6, tm_min=14, tm_sec=0, tm_wday=2, tm_yday=164, tm_isdst=0)",Plastics Today,http://www.bing.com/th?id=OVFT.D5tDAyQES1wt70c21hRTBC&pid=News,w={0}&h={1}&c=14,700,367,text/plain,,,Which Consumers are Leading the Recycling Charge?,text/html,,,"Understanding the differing recycling and sustainability viewpoints of baby boomers and Generations X, Y, and Z.","https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
"These Are the 17 Very Best Cat Toys of 2024, Tested by Our Picky Cats","[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.msn.com%2fen-us%2flifestyle%2fshopping%2fthese-are-the-17-very-best-cat-toys-of-2024-tested-by-our-picky-cats%2far-BB1inoyg&c=6693296227293081805&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.msn.com%2fen-us%2flifestyle%2fshopping%2fthese-are-the-17-very-best-cat-toys-of-2024-tested-by-our-picky-cats%2far-BB1inoyg&c=6693296227293081805&mkt=en-us,"The cat-shaped scratcher toy is made from 100 percent recyclable materials, so although it won’t last forever ... writer at PEOPLE.com who writes about the best and buzziest new products across the ...","Fri, 16 Feb 2024 04:27:00 GMT","time.struct_time(tm_year=2024, tm_mon=2, tm_mday=16, tm_hour=4, tm_min=27, tm_sec=0, tm_wday=4, tm_yday=47, tm_isdst=0)",MSN,,,,,text/plain,,,"These Are the 17 Very Best Cat Toys of 2024, Tested by Our Picky Cats",text/html,,,"The cat-shaped scratcher toy is made from 100 percent recyclable materials, so although it won’t last forever ... writer at PEOPLE.com who writes about the best and buzziest new products across the ...","https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
Mosquitoes want your old tires,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fherald-review.com%2fnews%2fcommunity%2fsafety-healcare-environmental-recycling-public%2farticle_c5dccb88-2f39-11ef-8cdf-1b9862c27c66.html&c=3637420183623370761&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fherald-review.com%2fnews%2fcommunity%2fsafety-healcare-environmental-recycling-public%2farticle_c5dccb88-2f39-11ef-8cdf-1b9862c27c66.html&c=3637420183623370761&mkt=en-us,"MMAD partners with the Macon County Health Department during the tire drive with the focus to rid mosquito habitats in Macon County. Even if filled with just a little bit of water, the tires can be an ...","Thu, 20 Jun 2024 14:00:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=20, tm_hour=14, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=172, tm_isdst=0)",Herald & Review,http://www.bing.com/th?id=OVFT.zuZb6go0D7xpnXr7Z0YQ9y&pid=News,w={0}&h={1}&c=14,700,367,text/plain,,,Mosquitoes want your old tires,text/html,,,"MMAD partners with the Macon County Health Department during the tire drive with the focus to rid mosquito habitats in Macon County. Even if filled with just a little bit of water, the tires can be an ...","https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
Blue Bin: Our Daily Life Has a Blue Hue and brings us closer to a Greener Future,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fen.protothema.gr%2f2024%2f06%2f20%2fblue-bin-our-daily-life-has-a-blue-hue-and-brings-us-closer-to-a-greener-future%2f&c=3074074743372728216&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fen.protothema.gr%2f2024%2f06%2f20%2fblue-bin-our-daily-life-has-a-blue-hue-and-brings-us-closer-to-a-greener-future%2f&c=3074074743372728216&mkt=en-us,"By Recycling Packaging, We Save Energy and Reduce Greenhouse Gas Emissions, Contributing to Combating the Climate Crisis ...","Thu, 20 Jun 2024 03:32:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=20, tm_hour=3, tm_min=32, tm_sec=0, tm_wday=3, tm_yday=172, tm_isdst=0)",protothema.gr,http://www.bing.com/th?id=OVFT.fbF6lzOmJOMPC34kjd-42y&pid=News,w={0}&h={1}&c=14,700,431,text/plain,,,Blue Bin: Our Daily Life Has a Blue Hue and brings us closer to a Greener Future,text/html,,,"By Recycling Packaging, We Save Energy and Reduce Greenhouse Gas Emissions, Contributing to Combating the Climate Crisis ...","https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
Mindful Awards Presents BareOrganics With 2024 “Organic Product of the Year”,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2ffinance.yahoo.com%2fnews%2fmindful-awards-presents-bareorganics-2024-120400954.html&c=15107870007279201551&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2ffinance.yahoo.com%2fnews%2fmindful-awards-presents-bareorganics-2024-120400954.html&c=15107870007279201551&mkt=en-us,"Awards Program Recognizes Top Mindful Companies, Services and Products Within the Packaged Goods IndustryLOS ANGELES, June 11, 2024 (GLOBE NEWSWIRE) -- The 2024  Program, an independent recognition ...","Tue, 11 Jun 2024 05:04:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=11, tm_hour=5, tm_min=4, tm_sec=0, tm_wday=1, tm_yday=163, tm_isdst=0)",YAHOO!Finance,http://www.bing.com/th?id=OVFT.Ddu307QSHaaZ-HO3FhVV4C&pid=News,w={0}&h={1}&c=14,633,700,text/plain,,,Mindful Awards Presents BareOrganics With 2024 “Organic Product of the Year”,text/html,,,"Awards Program Recognizes Top Mindful Companies, Services and Products Within the Packaged Goods IndustryLOS ANGELES, June 11, 2024 (GLOBE NEWSWIRE) -- The 2024  Program, an independent recognition ...","https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
Used cooking oil recycling mandate,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.msn.com%2fen-my%2fnews%2fnational%2fused-cooking-oil-recycling-mandate%2far-BB1ot0DS&c=11194707862810067356&mkt=en-us'}]",http://www.bing.com/news/apiclick.aspx?ref=FexRss&aid=&tid=667b5ce631094e6096c4a5a666270db2&url=https%3a%2f%2fwww.msn.com%2fen-my%2fnews%2fnational%2fused-cooking-oil-recycling-mandate%2far-BB1ot0DS&c=11194707862810067356&mkt=en-us,"Penang Island City Council (MBPP) will soon make it compulsory for food operators to collect used cooking oil to recycle at designated centres.The island’s mayor Datuk A. Rajendran said presently, the ...","Tue, 18 Jun 2024 16:00:00 GMT","time.struct_time(tm_year=2024, tm_mon=6, tm_mday=18, tm_hour=16, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=170, tm_isdst=0)",The Star Online on MSN,http://www.bing.com/th?id=OVFT.EV9mDPdvPpj3Zjr3gQuViS&pid=News,w={0}&h={1}&c=14,700,466,text/plain,,,Used cooking oil recycling mandate,text/html,,,"Penang Island City Council (MBPP) will soon make it compulsory for food operators to collect used cooking oil to recycle at designated centres.The island’s mayor Datuk A. Rajendran said presently, the ...","https://www.bing.com/news/search?q=""Recyclable materials"" ""new products""&format=rss"
